index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,['00'],2021101,0.9874086045355015,2013105,7996,0.003956259484310779,0.5146989856929505,0.2050106190890674,0.025347155152172465
1,['01' '02'],25773,0.012591395464498547,20256,5517,0.21406122686532417,-3.7131763712306807,1.4790015286857894,0.12141311202914888
2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",1.6840121477748569,0.14676026718132135
