index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,"(-inf, 179.50)",58033,0.028352013851365546,57922,111,0.0019127048403494564,1.2435291726356912,0.025208238643063312,0.0029625076785900887
1,"[179.50, 239.50)",607507,0.29679745797738405,605689,1818,0.002992558110441526,0.7948364743588732,0.12982753305930955,0.015814305302248366
2,"[239.50, 355.50)",149870,0.07321896706880834,149047,823,0.005491425902448789,0.18526758785043285,0.002296668086002378,0.00028667363587927793
3,"[355.50, inf)",1231464,0.6016315611024421,1220703,10761,0.008738379684668006,-0.2825394688413825,0.055379626620077595,0.006899519447927778
4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
5,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.21271206640845283,0.02596300606464551
