index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,"(-inf, 39.50)",162207,0.07924620665463532,161892,315,0.0019419630472174445,1.2283189034990318,0.0691630105420646,0.00813983591598431
1,"[39.50, 61.50)",435445,0.2127365924819994,434236,1209,0.0027764700478820517,0.8700014105733231,0.10795532818063641,0.013084315249365451
2,"[61.50, 69.50)",251936,0.12308329677351904,250854,1082,0.004294741521656294,0.43226673326102016,0.018716327527234806,0.002321494688744761
3,"[69.50, 82.50)",875794,0.4278690334627339,870181,5613,0.006409041395579326,0.02982271712486284,0.0003749986450385951,0.0000468730936147967
4,"[82.50, 94.50)",194170,0.09486172573397288,191458,2712,0.013967142194983777,-0.7568110895628264,0.08062856125824527,0.009844727530722956
5,"[94.50, inf)",127177,0.06213230516387428,124595,2582,0.020302413172193085,-1.137288998189332,0.14761995854344312,0.017518207599439485
6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
7,Missing,145,0.00007083972926521124,145,0,0.0,0.0,0.0,0.0
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.4244581846966628,0.05095545407787176
