index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,"(-inf, 49500.00)",143572,0.07014208006941317,142144,1428,0.009946229069735045,-0.41322741854758327,0.014781178489811683,0.0018346127593312674
1,"[49500.00, 89500.00)",517786,0.25296427625735635,513622,4164,0.008041932381331284,-0.19878174730554576,0.01104235846214463,0.001378026737280597
2,"[89500.00, 148500.00)",691517,0.33784053146407644,687125,4392,0.0063512538375773845,0.03893833907144195,0.0005025140268398678,0.00006281028538038724
3,"[148500.00, 214500.00)",417694,0.20406434397036652,415378,2316,0.0055447289163837645,0.1755542064251827,0.00577414811722106,0.0007208430911440633
4,"[214500.00, 274500.00)",176671,0.08631259178630439,175814,857,0.004850824413740795,0.3099507955124503,0.007142603821002421,0.0008892686696233484
5,"[274500.00, inf)",99634,0.04867617645248315,99278,356,0.0035730774635164705,0.6169553608770721,0.013868897673291764,0.0017066303911568012
6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
7,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.05311170059031142,0.006592191933916465
