index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,['CP' 'CO'],129334,0.06318610720542642,128793,541,0.004182968129030263,0.4587492816007721,0.010690893494939093,0.0013247653478251995
1,['PU'],206801,0.10103259897775828,205837,964,0.004661486163026291,0.34995539490998073,0.010460594824019388,0.0013009425683355984
2,['SF' 'MH'],1710434,0.8356322861104298,1698426,12008,0.007020440426231003,-0.06190905843576999,0.003302579437125074,0.0004127565157079974
3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
4,Missing,305,0.00014900770638544435,305,0,0.0,0.0,0.0,0.0
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.024454067756083553,0.0030384644318687953
