index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,['B' 'C' 'R'],1071212,0.5233404694182446,1065949,5263,0.00491312643995773,0.29712637190601043,0.04003875319765501,0.004986514698241455
1,['T'],975441,0.47655156106335805,967195,8246,0.008453612263581293,-0.2491212874612616,0.033522754096079604,0.00417954199573594
2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
3,Missing,221,0.00010796951839732196,217,4,0.01809954751131222,-1.0201901904815838,0.00019311321824320033,0.000023143942182534972
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.07375462051197781,0.00918920063615993
