index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,"(-inf, 19.50)",314229,0.15351653301571078,313213,1016,0.0032333107383468746,0.7172169382210782,0.056552718611373905,0.006921368320998333
1,"[19.50, 23.50)",191973,0.09378838169814067,191160,813,0.004234970542732572,0.4463417602421309,0.015107574749524528,0.001872925584823851
2,"[23.50, 27.50)",221214,0.10807406806672028,220091,1123,0.005076532226712595,0.26424423853360146,0.006641737882564011,0.0008278102228431276
3,"[27.50, 33.50)",377676,0.18451355579288223,375270,2406,0.006370539827788899,0.03588696644011957,0.00023347124741264377,0.000029182339977253374
4,"[33.50, 37.50)",235894,0.11524597996750166,234166,1728,0.007325324086242126,-0.10472758772336732,0.0013315923978410435,0.00016637302512219777
5,"[37.50, inf)",657554,0.32124791267073594,651408,6146,0.009346760874392065,-0.35045847260332064,0.04712301492421916,0.005860416490324531
6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
7,Missing,48334,0.023613568788308417,48053,281,0.005813712914304631,0.12791199517713814,0.0003629517182294267,0.00004533806075305061
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.1273530615311647,0.015723414044842343
