index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,"(-inf, 5.44)",299296,0.14622101800110804,298764,532,0.0017775045439965785,1.3169725708107611,0.14165570253582974,0.016528931646355924
1,"[5.44, 5.79)",269231,0.13153276655035923,268367,864,0.0032091401064513374,0.7247447739947113,0.04931420365091583,0.006032812793443632
2,"[5.79, 6.80)",721614,0.3525444165102493,717807,3807,0.0052756736981266995,0.22556607038350407,0.01607977666597331,0.0020057217489707624
3,"[6.80, 7.20)",253334,0.12376628947360707,251507,1827,0.007211823126781245,-0.08899763814357087,0.001024616770243963,0.00012803484447817398
4,"[7.20, 8.50)",435954,0.2129852643592131,431353,4601,0.010553865774829455,-0.4731400736680751,0.06072705782215266,0.007520860928219308
5,"[8.50, inf)",67445,0.03295024510546326,65563,1882,0.027904218251908964,-1.4631167116271326,0.15659684431534185,0.01799644153032133
6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
7,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.42539820176045734,0.05021280349178913
