index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,"(-inf, 1.50)",755571,0.36913410400444774,747794,7777,0.010292877836761867,-0.4478363036398392,0.0930412759544017,0.011533935649648629
1,"[1.50, inf)",1290636,0.6305400332409322,1284910,5726,0.004436572356574588,0.39963356638789893,0.0831934181641947,0.010330524293386795
2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
3,Missing,667,0.0003258627546199717,657,10,0.014992503748125937,-0.8286942574115876,0.00034549735633406073,0.00004199234607758658
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.17658019147493048,0.02190645228911301
