index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,"(-inf, 39.50)",158629,0.0774981752662841,158316,313,0.001973157493270461,1.2123519412294712,0.06631127251289524,0.00781588280647849
1,"[39.50, 61.50)",428634,0.20940907940596246,427454,1180,0.0027529314053481523,0.8785390588683608,0.10796990259470907,0.013078291270732425
2,"[61.50, 72.50)",370774,0.18114158467985816,369038,1736,0.004682097450198774,0.3455228206278438,0.018320569123986795,0.0022787469395943536
3,"[72.50, 82.50)",683046,0.3337020256254171,678474,4572,0.0066935462618915855,-0.013897770117155872,0.00006489785236547818,8.112166260441618e-6
4,"[82.50, 94.50)",241389,0.11793056143172467,238469,2920,0.012096657262758452,-0.6111374763375936,0.06038647633810953,0.007432993111559056
5,"[94.50, inf)",164247,0.08024284836291828,161455,2792,0.01699878841013839,-0.9563249017371813,0.12165680044248452,0.014652876199067015
6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
7,Missing,155,0.00007572522783522581,155,0,0.0,0.0,0.0,0.0
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.37470991886455063,0.04526690249369178
