index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,"(-inf, 1.50)",133611,0.06527563494382166,133150,461,0.0034503147195964405,0.6520403653432769,0.02045282346316879,0.0025122544383897683
1,"[1.50, 5.50)",290021,0.1416897180774195,288735,1286,0.004434161664155355,0.40017950371712807,0.0187409148619351,0.002327107008651916
2,"[5.50, 11.50)",390712,0.1908822917287532,388541,2171,0.005556522451319642,0.17341762454659726,0.0052758900514550695,0.0006586611148135081
3,"[11.50, 17.50)",323398,0.15799604665455713,321271,2127,0.006577035108442229,0.003779284602480004,2.2524534735631017e-6,2.815565166254053e-7
4,"[17.50, 41.50)",701264,0.34260242692026965,695877,5387,0.007681843071938671,-0.15260890602161137,0.008610685150006483,0.001075292387848049
5,"[41.50, inf)",207868,0.10155388167517883,205787,2081,0.01001116092905113,-0.41980007703328326,0.02216313841586045,0.002750226878686349
6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
7,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.07524570439589946,0.009323823384906216
