index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,"(-inf, 636.50)",153716,0.07509792981883594,149280,4436,0.02885841421842879,-1.4977225152912395,0.3817111777787341,0.04370128707242211
1,"[636.50, 667.50)",199728,0.09757708583918698,196456,3272,0.016382279900664903,-0.9187561139819085,0.13369813473707087,0.016148212617163756
2,"[667.50, 707.50)",391653,0.19134201714419158,388588,3065,0.007825804985535666,-0.17132109590613442,0.006118281842709763,0.0007638513029222145
3,"[707.50, 733.50)",305420,0.14921289732538495,304236,1184,0.0038766289044594327,0.5351119966544884,0.033178493967698876,0.004098527776401744
4,"[733.50, 754.50)",286036,0.1397428468972687,285434,602,0.0021046301864101023,1.1477154797625087,0.10998072433382244,0.013039486881602294
5,"[754.50, inf)",698924,0.34145922025488623,698099,825,0.0011803858502498126,1.7269396362611005,0.48746391707148606,0.054336456244577586
6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
7,Missing,11397,0.0055680027202456035,11268,129,0.011318768096867597,-0.5438834582675618,0.0021781438314144876,0.0002689610323157723
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",1.1543288735629367,0.1323567829274055
