index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,"(-inf, 3.50)",1703181,0.8320888339975983,1695159,8022,0.004710010269020145,0.33955087047482824,0.08149996831416376,0.01013883621712583
1,"[3.50, 13.50)",69145,0.03378077986236573,68373,772,0.011164943235230313,-0.5300444440874879,0.012458462976640012,0.001539330116240194
2,"[13.50, 21.00)",43533,0.021268040924844422,42930,603,0.013851560884845978,-0.7483842184107319,0.017595162736411225,0.0021494644677257447
3,"[21.00, 28.50)",121108,0.059167296081732434,119327,1781,0.014705882352941176,-0.809100563511187,0.05915689983110568,0.00719929007671481
4,"[28.50, inf)",109858,0.05367111019046605,107537,2321,0.02112727338928435,-1.1779563357986533,0.14002861389674728,0.016556973582975983
5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
6,Missing,49,0.000023938942993071385,35,14,0.2857142857142857,-4.097502451027998,0.00417464403564483,0.00032108696185426875
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.3149137517907128,0.037904981422636826
