index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,"(-inf, 50464.69)",218003,0.1065053344758886,216164,1839,0.00843566372939822,-0.24697774967240882,0.007355603475002441,0.0009171206781212393
1,"[50464.69, 88566.85)",509800,0.24906271709934272,505830,3970,0.007787367595135347,-0.16635863314325317,0.00749041331721708,0.000935223476001527
2,"[88566.85, 104985.40)",223195,0.10904188533344017,221663,1532,0.006863953045543135,-0.039209043723000825,0.00017092011346210473,0.00002136364572605503
3,"[104985.40, 176967.55)",666223,0.3254831513810816,662181,4042,0.006067037613531805,0.08500613057993966,0.002255976786513366,0.0002819122238561147
4,"[176967.55, 243434.39)",280246,0.13691414322523027,278730,1516,0.005409533053103345,0.20037510119899782,0.004987376253471033,0.0006223811830847028
5,"[243434.39, inf)",149407,0.07299276848501667,148793,614,0.004109579872429003,0.4765232462145237,0.013217879448362724,0.0016367777765204962
6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
7,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.03547816939402875,0.004414778983310135
