index,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
0,['VA' 'RI' 'ND' 'DE' 'CA' 'HI' 'AK'],292941,0.14311628365986379,292072,869,0.0029664676504825203,0.8036193180306359,0.06375238141518991,0.007761305866630366
1,['VT' 'ME' 'SD' 'AR' 'CT' 'NY' 'WY' 'WI' 'DC' 'MN' 'NE' 'MD'],325862,0.15919983350220873,324345,1517,0.004655344900602095,0.3512798808254205,0.016597798045523905,0.0020641228081356034
2,['NJ' 'AZ' 'CO' 'MA' 'IL' 'NH' 'ID' 'KY' 'MT' 'MO' 'OR' 'FL'],580066,0.2833911613514071,576675,3391,0.005845886502570397,0.12236080354070022,0.003996702858694265,0.0004992764274444443
3,['PA' 'NV' 'WA' 'NC' 'IA' 'OK'],252726,0.12346925116055019,250875,1851,0.007324137603570665,-0.10456440937701128,0.0014220484083889188,0.00017767511470500805
4,['KS' 'TN' 'MI' 'TX' 'IN' 'OH' 'GA' 'GU' 'UT' 'NM' 'SC'],535123,0.2614342651281906,530289,4834,0.009033437172388404,-0.3160453242311725,0.030635939906395154,0.0038136338492775375
5,['PR' 'AL' 'WV' 'MS' 'LA' 'VI'],60156,0.029389205197779638,59105,1051,0.01747124143892546,-0.9842197515946269,0.04794067310629085,0.00576185087837058
6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
7,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
Totals,"",2046874,1.0,2033361,13513,0.006601774217660687,"",0.164345543740483,0.02007786494456354
