window,n_observations,term,coefficient,hac_std_error,ci_low,ci_high,significant_at_95,r_squared
1999-2006,24,const,-5.382595439770769,0.3729380843736879,-6.113540653606558,-4.651650225934981,true,0.5126354820153769
1999-2006,24,unemployment,0.11950442549999246,0.06531230593961822,-0.008505341888920687,0.2475141928889056,false,0.5126354820153769
1999-2006,24,hpi_yoy,-0.01934234712128076,0.004341752353019566,-0.027852025362991143,-0.010832668879570375,true,0.5126354820153769
1999-2019,56,const,-5.168479966476191,0.5130196126488398,-6.1739799306306065,-4.162980002321776,true,0.5864462515268576
1999-2019,56,unemployment,0.1158559098938404,0.07903416081701835,-0.039048198855862304,0.2707600186435431,false,0.5864462515268576
1999-2019,56,hpi_yoy,-0.042369476144609675,0.006562990046411185,-0.05523270026647045,-0.029506252022748893,true,0.5864462515268576
