ifrs9_stage,n_loans,ead,mean_pd,mean_lgd,ecl,share_of_ecl,coverage_ratio
1,110710,15707160352.439991,0.004493204022593884,0.49925518231792393,31633199.67994952,0.9301633248842616,0.0020139349806176476
2,1556,201049194.12000003,0.06242568916066559,0.49818861659510905,2375021.063311425,0.06983667511573824,0.011813133963092876
