max_depth,num_leaves,valid_auc,best_iteration
6,15,0.893694187099027,178
4,31,0.8936126141478513,193
4,63,0.8936126141478513,193
4,15,0.8934823822255641,202
6,31,0.8930612663542624,133
6,63,0.8929096115448181,134
