age_band,n,empirical_default_hazard,empirical_prepay_hazard
age_00_06,573081,0.0001535559545683769,0.006332438171916361
age_06_12,444636,0.00043631194954974405,0.017106127259151307
age_12_24,648663,0.0005811954743834626,0.024872699691519326
age_24_36,377906,0.0007329865098728255,0.024932125978417912
age_36_60,274521,0.000961675063109926,0.027440523675784367
age_60_96,62879,0.0008110816011705021,0.019386440624055725
