month,cumulative_default,survival,naive_chained
1,0.0005247791094364112,0.9803667568404641,0.0005247791094363796
2,0.0010392551030122127,0.9611189779178898,0.0010492828257591125
3,0.0015436302643063965,0.9422490953191833,0.0015735112934885942
4,0.002038102905415262,0.9237496897139291,0.0020974646570697253
5,0.0025228674449254986,0.9056134874372298,0.002621143060871245
6,0.0029981144843564105,0.8878333576298194,0.003144546649186508
7,0.003464030883101326,0.8704023094343261,0.0036676755662327087
8,0.003920799831897667,0.8533134892465803,0.004190529956151767
9,0.004368600924854564,0.8365601780208902,0.004713109963009665
10,0.004807610230066333,0.8201357886282215,0.0052354157307969995
11,0.005238000358839579,0.8040338632662459,0.0057574474034286505
12,0.005659940533561157,0.7882480709202387,0.006279205124744003
13,0.006073596654233649,0.7727722048738266,0.006800689038507057
14,0.006479131363704547,0.7576001802686081,0.007321899288406208
15,0.006876704111614772,0.7427260317116863,0.007842836018054689
16,0.00726647121709167,0.7281439109301736,0.008363499370990013
17,0.007648585930211152,0.7138480844717461,0.008883889490674757
18,0.008023198492253122,0.6998329314503434,0.009404006520495889
19,0.008390456194773906,0.6860929413361281,0.009923850603765327
20,0.008750503437518887,0.6726227117888347,0.010443421883719717
21,0.009103481785198136,0.6594169465336581,0.010962720503520429
22,0.009449530023147346,0.6464704532788441,0.011481746606254006
23,0.009788784211895971,0.6337781416741652,0.012000500334931608
24,0.010121377740664003,0.6213350213094776,0.01251898183248934
25,0.010447441379808445,0.6091361997525733,0.013037191241788704
26,0.010767103332240081,0.5971768806255554,0.013555128705615593
27,0.011080489283830774,0.5854523617189807,0.014072794366681629
28,0.011387722452831104,0.5739580331430274,0.014590188367622936
29,0.011688923638317776,0.5626893755149615,0.015107310851001254
30,0.011984211267689848,0.5516419581821889,0.015624161959303273
31,0.012273701443232454,0.5408114374801954,0.016140741834940964
32,0.012557507987766336,0.5301935550246887,0.01665705062025158
33,0.012835742489401118,0.5197841360372703,0.017173088457497654
34,0.013108514345409931,0.5095790877039813,0.017688855488867006
35,0.013375930805242646,0.4995743975660746,0.018204351856472956
36,0.013638097012694602,0.4897661319423812,0.018719577702354218
37,0.013895116047247441,0.48015043438265115,0.01923453316847501
38,0.014147088964598275,0.4707235241512598,0.01974921839672472
39,0.014394114836393142,0.46148169474068446,0.020263633528918912
40,0.014636290789180363,0.4524213124141659,0.020777778706797978
41,0.014873712042599121,0.44353881477698226,0.0212916540720286
42,0.015106471946818268,0.43483070937577345,0.021805259766202623
43,0.01533466201924009,0.4262935723253654,0.022318595930837848
44,0.015558371980483461,0.4179240469625543,0.022831662707377798
45,0.015777689789660532,0.4097188425263212,0.02334446023719161
46,0.015992701678960813,0.40167473286395833,0.023856988661574485
47,0.01620349218755627,0.39378855516259864,0.024369248121747122
48,0.01641014419484075,0.386057208705649,0.024881238758856616
49,0.016612738953016806,0.37847765365363933,0.025392960713975454
50,0.016811356119042744,0.37104690984900685,0.025904414128102404
51,0.01700607378595244,0.36376205564434694,0.026415599142162183
52,0.017196968513560236,0.3566202267536689,0.026926515897005454
53,0.01738411535856304,0.3496186151262053,0.027437164533409164
54,0.01756758790405136,0.3427544678423323,0.027947545192076317
55,0.01774745828844101,0.3360250860311665,0.028457658013635867
56,0.01792379723383674,0.32942782380941266,0.028967503138643158
57,0.01809667407383902,0.32296008724104575,0.029477080707579817
58,0.01826615678080488,0.3166193333174174,0.02998639086085375
59,0.018432311992573544,0.3104030689573864,0.030495433738798927
60,0.01859520503866733,0.30430885002707986,0.031004209481676037
61,0.01875489996597816,0.2983342803788995,0.03151271822967183
62,0.018911459563949753,0.2924770109093954,0.03202096012289968
63,0.019064945389265408,0.286734738635637,0.03252893530139944
64,0.0192154177900511,0.28110520578971754,0.0330366439051375
65,0.019362935929603368,0.27558619893103664,0.03354408607400661
66,0.01950755780965136,0.2701755480760114,0.03405126194782615
67,0.019649340293162187,0.2648711258448742,0.03455817166634234
68,0.01978833912669848,0.2596708466252218,0.03506481536922801
69,0.019924608962337064,0.2545726657519863,0.035571193196082374
70,0.020058203379157244,0.2495745787035063,0.036077305286431716
71,0.020189174904307237,0.24467462031338164,0.03658315177972904
72,0.020317575033656984,0.23987086399780191,0.037088732815354075
73,0.020443454252045492,0.23516142099804513,0.03759404853261339
74,0.020566862053130647,0.23054443963784854,0.03809909907074083
75,0.020687846958849315,0.22601810459535973,0.03860388456889652
76,0.020806456538495374,0.22158063618938162,0.03910840516616798
77,0.02092273742742319,0.21723028967963084,0.03961266100156979
78,0.021036735345383882,0.21296535458073423,0.04011665221404337
79,0.021148495114501568,0.2087841539896939,0.04062037894245729
80,0.021258060676896715,0.20468504392655626,0.04112384132560731
81,0.021365475111963444,0.2006664126880259,0.041627039502216245
82,0.021470780653307667,0.19672668021377013,0.04212997361093418
83,0.02157401870535263,0.19286429746516492,0.042632643790338376
84,0.021675229859618478,0.1890777458162383,0.0431350501789336
85,0.021774453910682168,0.18536553645657117,0.04363719291515156
86,0.02187172987182405,0.1817262098059215,0.04413907213735169
87,0.021967095990367256,0.178158334940341,0.04464068798382048
88,0.022060589762715924,0.17466050902955926,0.04514204059277205
89,0.022152247949098165,0.17123135678541362,0.045643130102347995
90,0.022242106588019603,0.16786952992110835,0.046143956650617435
91,0.02233020101043311,0.16457370662109025,0.04664452037557676
92,0.022416565853630374,0.16134259102133228,0.04714482141515042
