cause,term,coefficient,std_error,ci_low,ci_high,significant,hazard_ratio
default,intercept,-9.45151069761438,0.18163171797787026,-9.807502323301142,-9.095519071927617,true,0.00007857077888101184
default,age_06_12,1.0231744568467562,0.13281940232743625,0.7628532118368457,1.2834957018566668,true,2.7820121388536783
default,age_12_24,1.3176844701088375,0.13670806075427003,1.0497415946341546,1.5856273455835204,true,3.7347634009365267
default,age_24_36,1.579826757670089,0.16397441540843863,1.2584428090835398,1.9012107062566383,true,4.854114800232536
default,age_36_60,1.727431619459913,0.2074053906724183,1.3209245235425136,2.1339387153773126,true,5.626185151287379
default,age_60_96,1.545442818089514,0.22848238827028455,1.0976255659780594,1.9932600702009684,true,4.6900480053566005
default,credit_score,-0.5703089607154838,0.015781949290057672,-0.6012410129298342,-0.5393769085011333,true,0.5653507405441954
default,original_ltv,0.6489960983858836,0.0696949215353174,0.5123965622713165,0.7855956345004507,true,1.9136187794195112
default,original_dti,0.18238391304805193,0.024219205311799146,0.13491514290274442,0.22985268319335944,true,1.2000748298379467
default,original_interest_rate,0.4447347861799622,0.055303479677371044,0.33634195779257214,0.5531276145673523,true,1.5600763871430157
default,original_upb,-0.03121728334983593,0.04699108842531676,-0.12331812425779379,0.06088355755812192,false,0.969264945059733
default,number_of_borrowers,-0.29455173216891956,0.03795441699837995,-0.3689410225399591,-0.22016244179788003,true,0.744865411841568
default,mtm_ltv,-0.31384548944994417,0.08985396518624993,-0.48995602508310987,-0.13773495381677847,true,0.7306319097767678
default,amortisation_ratio,0.39672576088062617,0.09823888489209026,0.2041810846107532,0.5892704371504991,true,1.4869480947956006
prepaid,intercept,-5.248870046578541,0.133109293201019,-5.509759467260121,-4.987980625896961,true,0.005253451201814777
prepaid,age_06_12,1.0090947453900274,0.08212323441947876,0.8481361636339089,1.170053327146146,true,2.7431166716922077
prepaid,age_12_24,1.4189385896735682,0.13195967735414052,1.160302374647927,1.6775748046992094,true,4.132731587493274
prepaid,age_24_36,1.4444362587138126,0.1193826609411121,1.2104505428906762,1.678421974536949,true,4.239461509550274
prepaid,age_36_60,1.4248317629195029,0.1516319693817423,1.1276385640264077,1.722024961812598,true,4.157158395729533
prepaid,age_60_96,0.8512565429340874,0.14678300495736082,0.5635671396750959,1.1389459461930789,true,2.3425885664542845
prepaid,credit_score,0.05723153577850195,0.025841684415950635,0.006582765023388726,0.10788030653361518,true,1.0589009554715585
prepaid,original_ltv,0.03195139909635525,0.08276240915875872,-0.13025994212857978,0.19416274032129027,false,1.0324673252407397
prepaid,original_dti,0.018693456908325735,0.009711876592826555,-0.0003414714359118824,0.03772838525256335,false,1.018869273404541
prepaid,original_interest_rate,0.6079837881061939,0.05093269316913154,0.5081575438590669,0.707810032353321,true,1.8367244373712897
prepaid,original_upb,0.3355887396054552,0.03278381546221028,0.27133364202371574,0.3998438371871947,true,1.3987636504139451
prepaid,number_of_borrowers,0.03571984587104898,0.013230659552787623,0.009788229655874423,0.061651462086223546,true,1.0363654637530888
prepaid,mtm_ltv,-0.05896603914087174,0.11041222245625526,-0.27537001860815663,0.15743794032641317,false,0.9427387848325232
prepaid,amortisation_ratio,-0.07625593587218792,0.026248034247957786,-0.12770113766315905,-0.02481073408121677,true,0.9265790313973092
