split,n,n_default,observed_rate,expected_rate,observed_over_expected,auc,gini,ks,ks_decile,brier,reliability,resolution,uncertainty,score_psi,psi_band
train,2046874,13513,0.006601774217660687,0.006620987499447361,0.9970981244431774,0.8936105513836875,0.787221102767375,0.622471279499945,3,0.005992079820164099,8.285079028259359e-7,0.00016503306670819586,0.006558190794839717,,
validation_in_time,517080,3497,0.006762976715401872,0.006536778849225898,1.0346038731603657,0.8918178661261964,0.7836357322523928,0.6114340235228686,3,0.006219173811685749,1.3895468857529394e-6,0.00016909364009305374,0.006717238861348804,0.00020020983821613327,stable
oot_stress,342603,7446,0.021733610038440994,0.0067601789142816065,3.214945982054765,0.8191027585100449,0.6382055170200898,0.4599264358618254,4,0.01972539015950715,0.0005350514764505297,0.0009146898660428945,0.02126126023313797,0.0018513100802494131,stable
oot_benign,536028,5416,0.010103949793667496,0.003239497852851422,3.1189864147537403,0.7675291366126977,0.5350582732253955,0.38805019506418503,4,0.009742196274674495,0.00008206504215341996,0.00012165454711695104,0.010001859992234543,0.2128444901003815,moderate
oot_benign_ex_forbearance,533056,2444,0.004584884139752671,0.0032017207635102827,1.4320062486417224,0.8505551121755056,0.7011102243510112,0.5262980647625211,2,0.004326480256746933,7.383334783408264e-6,0.000058182267721285184,0.004563862977177716,0.2164539568299867,moderate
