specification,delinquency_bands,n_terms,intercept_default,mean_monthly_hazard_default,realised_monthly_default_rate,hazard_implied_pd_12m,panel_observed_default_rate_12m,ratio_hazard_to_observed,coef_dlq_01,coef_dlq_02_plus
primary,false,14,-9.45151069761438,0.0005247791094364112,0.0005252581574565245,0.00616675468524618,0.006935669558868952,0.8891361724926,,
delinquency_banded,true,16,-11.035314904231855,0.0005250462634420085,0.0005252581574565245,0.0013021579178969865,0.006935669558868952,0.18774797542536592,4.274654078680249,10.068429981165114
